T,M,C,chi,ksai
2.0,0.9992957142857134,6.3863469418334873e-07,1.4483877719406735e-07,0.15414714652043107
4.0,0.95030571428571464,4.5198683673502993e-05,1.358482448887699e-05,0.30835321593431803
5.0,0.85246857142857169,0.00055652964081635836,0.001946547869386972,0.38504864643201892
5.5,0.7558057142857143,0.0016165462265305477,0.012715966253060929,0.42020818398997456
5.7,0.71079571428571431,0.0014666395836734694,0.012440908838775355,0.44008908528038249
6.2,0.51462428571428576,0.0022757086204081636,0.026449628838775441,0.47491968366708348
6.4,0.39483428571428564,0.0015100387979591796,0.02160490053877559,0.51250262985529915
6.5,0.3194771428571429,0.0013654579102040827,0.019174045477551055,0.51126449641298466
6.55,0.27103857142857157,0.0011716065632652994,0.01564704108367336,0.52163363809542185
6.6,0.2056757142857143,0.0010579499816326552,0.01240977912448981,0.5199228811179285
6.63,0.14377285714285715,0.00060425511020407562,0.0089681275489795799,0.54394272954237866
6.66,0.14247428571428575,0.00053967951020408855,0.0093371824816326568,0.5406225686332029
6.68,0.092427142857142819,0.00070743977755101904,0.0058009195489795995,0.50638444519683012
6.7,0.11847142857142856,0.000901603042857144,0.0078737954693877711,0.50024516716425138
6.73,0.062628571428571422,0.00057194861020408135,0.0025194946122449021,0.49960038891628961
6.76,0.053874285714285701,0.00058799680612245256,0.0026587327673469395,0.4986864561490873
6.8,0.056267142857142849,0.00050386827755101752,0.0018735889204081649,0.49881377333462951
6.85,0.043267142857142858,0.00048901676734693957,0.00098160892040816301,0.47343764863125681
7.0,0.035294285714285709,0.00045420399183673235,0.00059099111020408318,0.4633127932580029
7.3,0.024372857142857127,0.00036250635714285702,0.00039827669183673561,0.42355617715137289
7.7,0.0201857142857143,0.00019793404897959152,0.00014910322448979496,0.38161858733308018
8.0,0.022961428571428577,0.00021615497142857102,0.00027808622653061185,0.35390418464595019
8.4,0.019414285714285714,0.00021437514081632664,0.00013201808163265324,0.33664327371273461
8.8,0.0080642857142857131,0.00011391575510204038,4.076701020408165e-05,0.32102899962500381
